timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753732788285,5197,Переход на страницу Advantage Shopping,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-3,,true,,22524,3441,45,45,null,0,160068,22
1753732808296,24,-184,200,,Thread Group 1-3,text,true,,3328,365,12,12,http://localhost:8080/,24,0,6
1753732828321,27,-189,200,,Thread Group 1-3,,true,,1292,309,21,21,http://localhost:8080/services.properties,27,0,3
1753732848359,62,-192,200,,Thread Group 1-3,text,true,,7081,404,30,30,http://172.20.48.1:8080/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,57,0,3
1753732868437,212,-195,200,,Thread Group 1-3,text,true,,1490,913,39,39,http://172.20.48.1:8081//accountservice/ws/GetAccountConfigurationRequest,212,0,2
1753732888658,3629,-196,200,,Thread Group 1-3,text,true,,4982,378,45,45,http://172.20.48.1:8080/catalog/api/v1/categories,3616,0,2
1753732912298,1168,-198,200,,Thread Group 1-3,text,true,,807,398,45,45,http://172.20.48.1:8080/catalog/api/v1/deals/search?dealOfTheDay=true,1168,0,3
1753732933469,13,-199,200,,Thread Group 1-3,text,true,,890,354,45,45,http://localhost:8080/app/tempFiles/popularProducts.json,13,0,2
1753732953490,62,-200,200,,Thread Group 1-3,text,true,,2654,320,45,45,http://localhost:8080/app/views/home-page.html,61,0,1
1753732783754,9635,Переход на страницу Advantage Shopping,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-1,,true,,22517,3441,45,45,null,0,160265,73
1753732803940,79,-184,200,,Thread Group 1-1,text,true,,3328,365,10,10,http://localhost:8080/,70,0,48
1753732824032,20,-189,200,,Thread Group 1-1,,true,,1292,309,19,19,http://localhost:8080/services.properties,20,0,6
1753732844056,1226,-192,200,,Thread Group 1-1,text,true,,7081,404,28,28,http://172.20.48.1:8080/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,1210,0,2
1753732865292,3135,-195,200,,Thread Group 1-1,text,true,,1490,913,39,39,http://172.20.48.1:8081//accountservice/ws/GetAccountConfigurationRequest,3135,0,6
1753732888440,3823,-196,200,,Thread Group 1-1,text,true,,4975,378,45,45,http://172.20.48.1:8080/catalog/api/v1/categories,3822,0,2
1753732912280,1260,-198,200,,Thread Group 1-1,text,true,,807,398,45,45,http://172.20.48.1:8080/catalog/api/v1/deals/search?dealOfTheDay=true,1260,0,4
1753732933547,8,-199,200,,Thread Group 1-1,text,true,,890,354,45,45,http://localhost:8080/app/tempFiles/popularProducts.json,7,0,2
1753732953569,84,-200,200,,Thread Group 1-1,text,true,,2654,320,45,45,http://localhost:8080/app/views/home-page.html,84,0,3
1753732786047,7630,Переход на страницу Advantage Shopping,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-2,,true,,22532,3441,45,45,null,0,160105,19
1753732806058,12,-184,200,,Thread Group 1-2,text,true,,3328,365,10,10,http://localhost:8080/,12,0,1
1753732826074,41,-189,200,,Thread Group 1-2,,true,,1292,309,20,20,http://localhost:8080/services.properties,41,0,4
1753732846135,58,-192,200,,Thread Group 1-2,text,true,,7081,404,29,29,http://172.20.48.1:8080/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,55,0,3
1753732866211,2215,-195,200,,Thread Group 1-2,text,true,,1490,913,39,39,http://172.20.48.1:8081//accountservice/ws/GetAccountConfigurationRequest,2215,0,4
1753732888440,3861,-196,200,,Thread Group 1-2,text,true,,4990,378,45,45,http://172.20.48.1:8080/catalog/api/v1/categories,3861,0,2
1753732912311,1348,-198,200,,Thread Group 1-2,text,true,,807,398,45,45,http://172.20.48.1:8080/catalog/api/v1/deals/search?dealOfTheDay=true,1346,0,2
1753732933675,7,-199,200,,Thread Group 1-2,text,true,,890,354,45,45,http://localhost:8080/app/tempFiles/popularProducts.json,7,0,2
1753732953695,88,-200,200,,Thread Group 1-2,text,true,,2654,320,45,45,http://localhost:8080/app/views/home-page.html,88,0,1
1753732790557,6556,Переход на страницу Advantage Shopping,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-4,,true,,22518,3441,45,45,null,0,160127,37
1753732810571,20,-184,200,,Thread Group 1-4,text,true,,3328,365,13,13,http://localhost:8080/,19,0,2
1753732830594,51,-189,200,,Thread Group 1-4,,true,,1292,309,22,22,http://localhost:8080/services.properties,51,0,3
1753732850655,43,-192,200,,Thread Group 1-4,text,true,,7081,404,31,31,http://172.20.48.1:8080/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,41,0,2
1753732870710,2704,-195,200,,Thread Group 1-4,text,true,,1490,913,41,41,http://172.20.48.1:8081//accountservice/ws/GetAccountConfigurationRequest,2704,0,7
1753732893429,769,-196,200,,Thread Group 1-4,text,true,,4976,378,45,45,http://172.20.48.1:8080/catalog/api/v1/categories,769,0,4
1753732914245,2936,-198,200,,Thread Group 1-4,text,true,,807,398,45,45,http://172.20.48.1:8080/catalog/api/v1/deals/search?dealOfTheDay=true,2935,0,16
1753732937195,7,-199,200,,Thread Group 1-4,text,true,,890,354,45,45,http://localhost:8080/app/tempFiles/popularProducts.json,7,0,2
1753732957215,26,-200,200,,Thread Group 1-4,text,true,,2654,320,45,45,http://localhost:8080/app/views/home-page.html,26,0,1
1753732792801,4312,Переход на страницу Advantage Shopping,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-5,,true,,22538,3441,45,45,null,0,160142,133
1753732812817,16,-184,200,,Thread Group 1-5,text,true,,3328,365,14,14,http://localhost:8080/,16,0,4
1753732832846,13,-189,200,,Thread Group 1-5,,true,,1292,309,23,23,http://localhost:8080/services.properties,13,0,2
1753732852871,59,-192,200,,Thread Group 1-5,text,true,,7081,404,32,32,http://172.20.48.1:8080/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,56,0,6
1753732872933,499,-195,200,,Thread Group 1-5,text,true,,1490,913,41,41,http://172.20.48.1:8081//accountservice/ws/GetAccountConfigurationRequest,499,0,2
1753732893444,779,-196,200,,Thread Group 1-5,text,true,,4996,378,45,45,http://172.20.48.1:8080/catalog/api/v1/categories,778,0,3
1753732914286,2878,-198,200,,Thread Group 1-5,text,true,,807,398,45,45,http://172.20.48.1:8080/catalog/api/v1/deals/search?dealOfTheDay=true,2877,0,111
1753732937180,11,-199,200,,Thread Group 1-5,text,true,,890,354,45,45,http://localhost:8080/app/tempFiles/popularProducts.json,11,0,3
1753732957199,57,-200,200,,Thread Group 1-5,text,true,,2654,320,45,45,http://localhost:8080/app/views/home-page.html,56,0,2
1753732795028,2336,Переход на страницу Advantage Shopping,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-6,,true,,22529,3441,45,45,null,0,160062,25
1753732815034,7,-184,200,,Thread Group 1-6,text,true,,3328,365,15,15,http://localhost:8080/,7,0,2
1753732835046,8,-189,200,,Thread Group 1-6,,true,,1292,309,24,24,http://localhost:8080/services.properties,8,0,2
1753732855069,53,-192,200,,Thread Group 1-6,text,true,,7081,404,33,33,http://172.20.48.1:8080/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,51,0,2
